Season,Site,Density
WINTER      ,1,0.6476829
WINTER      ,1,6.0961516
WINTER      ,1,1.3105639
WINTER      ,1,1.7252788
WINTER      ,1,1.4593867
WINTER      ,1,1.057561
WINTER      ,2,1.016298
WINTER      ,2,16.1967938
WINTER      ,2,1.1680815
WINTER      ,2,1.0242991
WINTER      ,2,2.0113331
WINTER      ,2,3.6746411
WINTER      ,3,0.6891478
WINTER      ,3,1.2191255
WINTER      ,3,1.1131387
WINTER      ,3,0.6569404
WINTER      ,3,0.1361474
WINTER      ,3,0.2547378
SUMMER      ,4,0
SUMMER      ,4,0
SUMMER      ,4,0.9410876
SUMMER      ,4,0
SUMMER      ,4,0
SUMMER      ,4,1.5734807
SUMMER      ,5,1.3745174
SUMMER      ,5,0
SUMMER      ,5,0
SUMMER      ,5,0
SUMMER      ,5,0
SUMMER      ,5,0
SUMMER      ,6,0
SUMMER      ,6,0
SUMMER      ,6,0.1328854
SUMMER      ,6,0
SUMMER      ,6,0.6580407
SUMMER      ,6,0.3745397
